State,County,City,Source,Count,Status,"5,009,246"
New York,New York County (Manhattan),,https://www1.nyc.gov/site/planning/data-maps/open-data/pluto-mappluto-archive.page,"43,158",Complete,
New York,Bronx County,,https://www1.nyc.gov/site/planning/data-maps/open-data/pluto-mappluto-archive.page,"89,897",Complete,
New York,Kings County (Brooklyn),,https://www1.nyc.gov/site/planning/data-maps/open-data/pluto-mappluto-archive.page,"277,572",Complete,
New York,Queens County,,https://www1.nyc.gov/site/planning/data-maps/open-data/pluto-mappluto-archive.page,"124,022",Complete,
New York,Richmond County (Staten Island) ,,https://www1.nyc.gov/site/planning/data-maps/open-data/pluto-mappluto-archive.page,"324,556",Complete,
California,Los Angeles County,Los Angeles,https://data.lacounty.gov/Parcel-/Assessor-Parcels-Data-2006-thru-2016/9trm-uz8i,"300,000",,
California,Los Angeles County,Long Beach,https://data.lacounty.gov/Parcel-/Assessor-Parcels-Data-2006-thru-2016/9trm-uz8i,"106,196",Complete,
California,Los Angeles County,Santa Clarita,https://data.lacounty.gov/Parcel-/Assessor-Parcels-Data-2006-thru-2016/9trm-uz8i,"62,983",Complete,
California,Los Angeles County,Lancaster,https://data.lacounty.gov/Parcel-/Assessor-Parcels-Data-2006-thru-2016/9trm-uz8i,"51,428",Complete,
California,Los Angeles County,Unincorporated,https://data.lacounty.gov/Parcel-/Assessor-Parcels-Data-2006-thru-2016/9trm-uz8i,"700,000",,
Pennsylvania,Allegheny County,,https://data.wprdc.org/dataset/property-assessments,500000,,
Pennsylvania,Philadelphia County,Philadelphia,https://www.opendataphilly.org/dataset/opa-property-assessments,"500,000",,
Texas,Harris County,Houston,http://data.ohouston.org/dataset/city-of-houston-property-tax-rolls-by-year/resource/afffd1f0-63bb-4afb-8d85-28f19ebca795,"500,000",,
Texas,Dallas County,Dallas,https://www.dallasopendata.com/Geography-Boundaries/Tax-Appraisal-Data-2016/sz7q-arnn,"500,000",,
Florida,Alachua County,,http://dor.myflorida.com/dor/property/resources/data.html,"102,124",Complete,
Florida,Baker County,,http://dor.myflorida.com/dor/property/resources/data.html,"12,260",Complete,
Florida,Bradford County,,http://dor.myflorida.com/dor/property/resources/data.html,"15,050",Complete,
Florida,Brevard County,,http://dor.myflorida.com/dor/property/resources/data.html,"100,000",,
Florida,Broward County,,http://dor.myflorida.com/dor/property/resources/data.html,"300,000",,
Florida,Colhoun County,,http://dor.myflorida.com/dor/property/resources/data.html,"100,000",,
Florida,Columbia County,,http://dor.myflorida.com/dor/property/resources/data.html,"300,000",,
